FreshersBDARoles,DvAnalytics&ConsultingPrivateLimited,4daysago
INVITINGAPPLICATIONSFORFRESHERCOMMERCEGRADUATES||HYDERABAD,GenpactIndiaPrivateLimited,3daysago
GRADUATEFRESHERHIRING,ImpresarioEntertainmentAndHospitalityPrivateLimited,adayago
ITRecruiter-Fresher-WorkfromOffice,ConsulttrinityServicesPrivateLimited,3daysago
PE-ProcessExecutive-Freshers,CognizantTechnologySolutionsIndiaPvtLtd,3daysago
PE-ProcessExecutive-Freshers,CognizantTechnologySolutionsIndiaPvtLtd,3daysago
HRManager-TalentAcquisition,CompanyNameConfidential,2daysago
JuniorExecutiveCodingService,CoditechSoftwareSolutionsIndiaPrivateLimited,3daysago
Fresher/B.com/BCA/BA/MBA/Passedout/Goodcommunicationskills/Bpo/Callcenter/,InspirationManpowerConsultancyPrivateLimited,adayago
Fresher/Graduate/Passedout/B.com/Bpo/Ites/Callcenter/Voice/Customerservice/,InspirationManpowerConsultancyPrivateLimited,adayago
Freshers,AnmrsITSolutions,19hoursago
Freshers,AnmrsITSolutions,18hoursago
Freshers,AnmrsITSolutions,18hoursago
Freshers,AnmrsITSolutions,18hoursago
MechanicalEngineer,UpManPlacementsPrivateLimited,5daysago
InboundProcess(Domestic),AnmrsITSolutions,19hoursago
UrgentHiringforGraduateFreshers,RoyalContentResearchServices,4daysago
InboundProcess(Domestic),AnmrsITSolutions,18hoursago
ManagementTrainee,NetxcellLtd,55minutesago
ECommerceCustomerSupportandTechSupport,TechMahindraLimited,3daysago
FresherTrainee,TalentCornerHrServicesPrivateLimited,adayago
SMARTPROGRAM,LineupManpowerSolutionsPrivateLimited,7daysago
NURSES,RoohiRecruitmentServices,3daysago
HiringFRESHERSforUKServiceDesk,TechMahindraBusinessServicesLimited,7daysago
FreshersBPOCallCenterCustomerSupport,CompanyNameConfidential,6daysago
