Title,Location
Freshers BDA Roles,Permanent Job
WALK IN For Medical Science Fresher- Process Executive,Bengaluru / Bangalore
                                         ,
Process Associate- Freshers-Night Shift-Airoli,Hyderabad / Secunderabad, Telangana
INVITING APPLICATIONS FOR FRESHER COMMERCE GRADUATES || HYDERABAD,0-5 years
GRADUATE FRESHER HIRING,Walkin Job
IT Recruiter- Fresher -Work from Office,Hyderabad / Secunderabad, Telangana
PE - Process Executive - Freshers,Fresher
PE - Process Executive - Freshers,Permanent Job
HR Manager - Talent Acquisition,Mumbai
                                         ,
Junior Executive Coding Service,Mumbai City
                                         ,
Freshers,Navi Mumbai
                                         ,
Freshers,Thane
Freshers,0-1 years
Freshers,Permanent Job
Fresher / B.com / BCA / BA / MBA / Passed out / Good communication skills / Bpo / Call center /,Hyderabad / Secunderabad, Telangana
Fresher / Graduate / Passed out / B.com / Bpo / Ites / Call center / Voice / Customer service /,Fresher
Inbound Process (Domestic),Permanent Job
Inbound Process (Domestic),Bengaluru / Bangalore
                                         ,
Management Trainee,Hyderabad / Secunderabad, Telangana
Urgent Hiring for Graduate Freshers,0-3 years
Fresher Trainee,240000 -
                                        350000
                                        INR
E Commerce Customer Support and Tech Support,Walkin Job
Mechanical Engineer,Chennai
Software Engineer,Fresher
Day Shift Email and Chat Support Graduates with min 1 year experience CTC 22k,Permanent Job
